job_id,work_item_id,job_kind,status,group,name,base_version,base_config_sha256,code_ref,config_snapshot_ref,seed,changed_parameters,config_fingerprint,repeat_of,duplicate_resolution,purpose,run_id,run_start_receipt_ref,run_start_receipt_sha256,run_command_sha256,run_log_sha256,run_exit_code,U,S,H,ZS,best_epoch,decision,artifact_ref,artifact_manifest_sha256
RUN-001,V5-ABLATION-011,ablation,frozen,CURRENT-GLOBAL-ONLY,current-global-only-seed5-repeat1,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,model/v5-template-v1,configs/RUN-001.yaml,5,"{""score_path"":""global_only""}",210b29317b49b32b0b36caef1bce3fc1056ae40a73095827ed4c984e4c6e1f64,,唯一首次运行,当前 V5 global-only 同 seed 三次独立运行,V5ABL011-RUN-001,,,,,,,,,,,,,
RUN-002,V5-ABLATION-011,ablation,frozen,CURRENT-GLOBAL-ONLY,current-global-only-seed5-repeat2,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,model/v5-template-v1,configs/RUN-002.yaml,5,"{""score_path"":""global_only""}",210b29317b49b32b0b36caef1bce3fc1056ae40a73095827ed4c984e4c6e1f64,RUN-001,同一代码配置独立进程复跑,当前 V5 global-only 同 seed 三次独立运行,V5ABL011-RUN-002,,,,,,,,,,,,,
RUN-003,V5-ABLATION-011,ablation,frozen,CURRENT-GLOBAL-ONLY,current-global-only-seed5-repeat3,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,model/v5-template-v1,configs/RUN-003.yaml,5,"{""score_path"":""global_only""}",210b29317b49b32b0b36caef1bce3fc1056ae40a73095827ed4c984e4c6e1f64,RUN-001,同一代码配置独立进程复跑,当前 V5 global-only 同 seed 三次独立运行,V5ABL011-RUN-003,,,,,,,,,,,,,
