job_id,work_item_id,job_kind,status,group,name,base_version,base_config_sha256,code_ref,config_snapshot_ref,seed,changed_parameters,config_fingerprint,repeat_of,duplicate_resolution,purpose,run_id,run_start_receipt_ref,run_start_receipt_sha256,run_command_sha256,run_log_sha256,run_exit_code,U,S,H,ZS,best_epoch,decision,artifact_ref,artifact_manifest_sha256
RUN-001,V3-CONFIRM-001,confirmation,legacy_summary_only,legacy_backfill,local-v3-054 confirmation repeat 1,v3,7dac00c7607fd784cf97e7a9a65c90849c1b1f32112fcfa16700fbf847c741a8,13529cb1d3ed8405e2f5cbb4832eff8d1c78db16,,5,"{""clip_a_self_outer_ratio"":0.5,""local_weight"":0.1,""pse_outer_ratio"":0.5}",8ebc09500c3baa3979cc685a1abacd1b28a73e51398c18393f2f9190267cfc60,,legacy record preserved,preserve historical evidence,RUN-20260629-1722-rep01,,,,,,,,74.46,,,confirmed_config,warehouse://legacy/v3/local-v3-054,
RUN-002,V3-CONFIRM-001,confirmation,legacy_summary_only,legacy_backfill,local-v3-054 confirmation repeat 2,v3,7dac00c7607fd784cf97e7a9a65c90849c1b1f32112fcfa16700fbf847c741a8,13529cb1d3ed8405e2f5cbb4832eff8d1c78db16,,5,"{""clip_a_self_outer_ratio"":0.5,""local_weight"":0.1,""pse_outer_ratio"":0.5}",8ebc09500c3baa3979cc685a1abacd1b28a73e51398c18393f2f9190267cfc60,RUN-001,legacy record preserved,preserve historical evidence,RUN-20260629-1722-rep02,,,,,,,,74.42,,,confirmed_config,warehouse://legacy/v3/local-v3-054,
RUN-003,V3-CONFIRM-001,confirmation,legacy_summary_only,legacy_backfill,local-v3-054 confirmation repeat 3,v3,7dac00c7607fd784cf97e7a9a65c90849c1b1f32112fcfa16700fbf847c741a8,13529cb1d3ed8405e2f5cbb4832eff8d1c78db16,,5,"{""clip_a_self_outer_ratio"":0.5,""local_weight"":0.1,""pse_outer_ratio"":0.5}",8ebc09500c3baa3979cc685a1abacd1b28a73e51398c18393f2f9190267cfc60,RUN-001,legacy record preserved,preserve historical evidence,RUN-20260629-1722-rep03,,,,,,,,74.47,,,confirmed_config,warehouse://legacy/v3/local-v3-054,
