job_id,work_item_id,job_kind,status,group,name,base_version,base_config_sha256,code_ref,config_snapshot_ref,seed,changed_parameters,config_fingerprint,repeat_of,duplicate_resolution,purpose,run_id,run_start_receipt_ref,run_start_receipt_sha256,run_command_sha256,run_log_sha256,run_exit_code,U,S,H,ZS,best_epoch,decision,artifact_ref,artifact_manifest_sha256
RUN-001,V5-TUNE-004,tune,frozen,SGMP-TOPK16,SGMP-TOPK16 seed=5 repeat=1,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,2f5fa5e631ef82658d4bac587cdfd17f3534cb35,configs/RUN-001.yaml,5,"{""sgmp_topk"":16}",13c60f956c1b2b74d740f0e17e9903bfce3726117453890e3f4c3d735c0cb8ed,,unique_config,评估 SGMP 采用 top-k 16 的影响,,,,,,,,,,,,,,
RUN-002,V5-TUNE-004,tune,frozen,SGMP-TOPK16,SGMP-TOPK16 seed=5 repeat=2,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,2f5fa5e631ef82658d4bac587cdfd17f3534cb35,configs/RUN-002.yaml,5,"{""sgmp_topk"":16}",13c60f956c1b2b74d740f0e17e9903bfce3726117453890e3f4c3d735c0cb8ed,RUN-001,exact_repeat,评估 SGMP 采用 top-k 16 的影响,,,,,,,,,,,,,,
RUN-003,V5-TUNE-004,tune,frozen,SGMP-TOPK16,SGMP-TOPK16 seed=17 repeat=1,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,2f5fa5e631ef82658d4bac587cdfd17f3534cb35,configs/RUN-003.yaml,17,"{""sgmp_topk"":16}",62cd342450d52f42c11d3b4ba6bbaa88c23f85813aedbc6c4e302931f80e098c,,unique_config,评估 SGMP 采用 top-k 16 的影响,,,,,,,,,,,,,,
RUN-004,V5-TUNE-004,tune,frozen,SGMP-TOPK16,SGMP-TOPK16 seed=17 repeat=2,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,2f5fa5e631ef82658d4bac587cdfd17f3534cb35,configs/RUN-004.yaml,17,"{""sgmp_topk"":16}",62cd342450d52f42c11d3b4ba6bbaa88c23f85813aedbc6c4e302931f80e098c,RUN-003,exact_repeat,评估 SGMP 采用 top-k 16 的影响,,,,,,,,,,,,,,
