job_id,work_item_id,job_kind,status,group,name,base_version,base_config_sha256,code_ref,config_snapshot_ref,seed,changed_parameters,config_fingerprint,repeat_of,duplicate_resolution,purpose,run_id,run_start_receipt_ref,run_start_receipt_sha256,run_command_sha256,run_log_sha256,run_exit_code,U,S,H,ZS,best_epoch,decision,artifact_ref,artifact_manifest_sha256
RUN-001,V5-ABLATION-003,ablation,draft,ICSA_OFF,关闭 ICSA seed 5,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,exp/v5/ablation/ablation-003-icsa-effect,configs/RUN-001.yaml,5,"{""ablation_disable_icsa"": true}",,,ICSA-off 与 V5-ABLATION-001/RUN-007 成对比较,验证 ICSA 对 seed 5 的独立影响,,,,,,,,,,,,,,
RUN-002,V5-ABLATION-003,ablation,draft,ICSA_OFF,关闭 ICSA seed 17,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,exp/v5/ablation/ablation-003-icsa-effect,configs/RUN-002.yaml,17,"{""ablation_disable_icsa"": true}",,,ICSA-off 与 V5-ABLATION-001/RUN-013 成对比较,验证 ICSA 对 seed 17 的独立影响,,,,,,,,,,,,,,
RUN-003,V5-ABLATION-003,ablation,draft,ICSA_OFF,关闭 ICSA seed 29,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,exp/v5/ablation/ablation-003-icsa-effect,configs/RUN-003.yaml,29,"{""ablation_disable_icsa"": true}",,,ICSA-off 与 V5-ABLATION-001/RUN-014 成对比较,验证 ICSA 对 seed 29 的独立影响,,,,,,,,,,,,,,
