job_id,work_item_id,job_kind,status,group,name,base_version,base_config_sha256,code_ref,config_snapshot_ref,seed,changed_parameters,config_fingerprint,repeat_of,duplicate_resolution,purpose,run_id,run_start_receipt_ref,run_start_receipt_sha256,run_command_sha256,run_log_sha256,run_exit_code,U,S,H,ZS,best_epoch,decision,artifact_ref,artifact_manifest_sha256
RUN-001,V5-ABLATION-007,ablation,frozen,TOPO-OFF,TOPO-OFF seed=5 repeat=1,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,2f5fa5e631ef82658d4bac587cdfd17f3534cb35,configs/RUN-001.yaml,5,"{""lambda_topo_pearson"":0.0}",2ceb3469991df2cb3851d6487b6fdbecfd5942816bc8fe1ab5b9a43e4b77bc27,,unique_config,验证 topology Pearson 损失贡献,,,,,,,,,,,,,,
RUN-002,V5-ABLATION-007,ablation,frozen,TOPO-OFF,TOPO-OFF seed=5 repeat=2,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,2f5fa5e631ef82658d4bac587cdfd17f3534cb35,configs/RUN-002.yaml,5,"{""lambda_topo_pearson"":0.0}",2ceb3469991df2cb3851d6487b6fdbecfd5942816bc8fe1ab5b9a43e4b77bc27,RUN-001,exact_repeat,验证 topology Pearson 损失贡献,,,,,,,,,,,,,,
RUN-003,V5-ABLATION-007,ablation,frozen,TOPO-OFF,TOPO-OFF seed=17 repeat=1,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,2f5fa5e631ef82658d4bac587cdfd17f3534cb35,configs/RUN-003.yaml,17,"{""lambda_topo_pearson"":0.0}",27deab46d8b38fff2f1ae2b3961853fa4d643b2255c94298678098452c825b00,,unique_config,验证 topology Pearson 损失贡献,,,,,,,,,,,,,,
RUN-004,V5-ABLATION-007,ablation,frozen,TOPO-OFF,TOPO-OFF seed=17 repeat=2,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,2f5fa5e631ef82658d4bac587cdfd17f3534cb35,configs/RUN-004.yaml,17,"{""lambda_topo_pearson"":0.0}",27deab46d8b38fff2f1ae2b3961853fa4d643b2255c94298678098452c825b00,RUN-003,exact_repeat,验证 topology Pearson 损失贡献,,,,,,,,,,,,,,
