job_id,work_item_id,job_kind,status,group,name,base_version,base_config_sha256,code_ref,config_snapshot_ref,seed,changed_parameters,config_fingerprint,repeat_of,duplicate_resolution,purpose,run_id,run_start_receipt_ref,run_start_receipt_sha256,run_command_sha256,run_log_sha256,run_exit_code,U,S,H,ZS,best_epoch,decision,artifact_ref,artifact_manifest_sha256
RUN-001,V5-ABLATION-009,ablation,frozen,S2V-ONLY,S2V-ONLY seed=5 repeat=1,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,2f5fa5e631ef82658d4bac587cdfd17f3534cb35,configs/RUN-001.yaml,5,"{""weight_s2v"":1}",7580aeaa7060a5705e1f3e3ea4686fd7b88c3d70343a31b7cf7be5b26b49b0e8,,unique_config,最终局部分数只采用 S2V 方向,,,,,,,,,,,,,,
RUN-002,V5-ABLATION-009,ablation,frozen,S2V-ONLY,S2V-ONLY seed=5 repeat=2,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,2f5fa5e631ef82658d4bac587cdfd17f3534cb35,configs/RUN-002.yaml,5,"{""weight_s2v"":1}",7580aeaa7060a5705e1f3e3ea4686fd7b88c3d70343a31b7cf7be5b26b49b0e8,RUN-001,exact_repeat,最终局部分数只采用 S2V 方向,,,,,,,,,,,,,,
RUN-003,V5-ABLATION-009,ablation,frozen,S2V-ONLY,S2V-ONLY seed=17 repeat=1,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,2f5fa5e631ef82658d4bac587cdfd17f3534cb35,configs/RUN-003.yaml,17,"{""weight_s2v"":1}",faab8e7be7a5109f1bb43b2f292192b1f44ff1e19c4d04642661d263d7b4b8d2,,unique_config,最终局部分数只采用 S2V 方向,,,,,,,,,,,,,,
RUN-004,V5-ABLATION-009,ablation,frozen,S2V-ONLY,S2V-ONLY seed=17 repeat=2,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,2f5fa5e631ef82658d4bac587cdfd17f3534cb35,configs/RUN-004.yaml,17,"{""weight_s2v"":1}",faab8e7be7a5109f1bb43b2f292192b1f44ff1e19c4d04642661d263d7b4b8d2,RUN-003,exact_repeat,最终局部分数只采用 S2V 方向,,,,,,,,,,,,,,
RUN-005,V5-ABLATION-009,ablation,frozen,V2S-ONLY,V2S-ONLY seed=5 repeat=1,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,2f5fa5e631ef82658d4bac587cdfd17f3534cb35,configs/RUN-005.yaml,5,"{""weight_s2v"":0}",f606e4705761e18347791ed341f46f8bbdd6513af728f7b90ac1b0109e0c9e5c,,unique_config,最终局部分数只采用 V2S 方向,,,,,,,,,,,,,,
RUN-006,V5-ABLATION-009,ablation,frozen,V2S-ONLY,V2S-ONLY seed=5 repeat=2,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,2f5fa5e631ef82658d4bac587cdfd17f3534cb35,configs/RUN-006.yaml,5,"{""weight_s2v"":0}",f606e4705761e18347791ed341f46f8bbdd6513af728f7b90ac1b0109e0c9e5c,RUN-005,exact_repeat,最终局部分数只采用 V2S 方向,,,,,,,,,,,,,,
RUN-007,V5-ABLATION-009,ablation,frozen,V2S-ONLY,V2S-ONLY seed=17 repeat=1,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,2f5fa5e631ef82658d4bac587cdfd17f3534cb35,configs/RUN-007.yaml,17,"{""weight_s2v"":0}",f201fc5d537efa53dbcfba26e1334d6d0deba7b47d582184bd6c05acef8e5c12,,unique_config,最终局部分数只采用 V2S 方向,,,,,,,,,,,,,,
RUN-008,V5-ABLATION-009,ablation,frozen,V2S-ONLY,V2S-ONLY seed=17 repeat=2,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,2f5fa5e631ef82658d4bac587cdfd17f3534cb35,configs/RUN-008.yaml,17,"{""weight_s2v"":0}",f201fc5d537efa53dbcfba26e1334d6d0deba7b47d582184bd6c05acef8e5c12,RUN-007,exact_repeat,最终局部分数只采用 V2S 方向,,,,,,,,,,,,,,
