job_id,work_item_id,job_kind,status,group,name,base_version,base_config_sha256,code_ref,config_snapshot_ref,seed,changed_parameters,config_fingerprint,repeat_of,duplicate_resolution,purpose,run_id,run_start_receipt_ref,run_start_receipt_sha256,run_command_sha256,run_log_sha256,run_exit_code,U,S,H,ZS,best_epoch,decision,artifact_ref,artifact_manifest_sha256
RUN-001,V5-ABLATION-013,ablation,frozen,PSE-SEEN-ONLY,PSE-SEEN-ONLY-seed5-repeat1,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,exp/v5/ablation/ablation-013-pse-shared-unseen,configs/PSE-SEEN-ONLY-SEED5.yaml,5,"{""pse_apply_unseen"":false}",d7564e573fe2a3b7dd067f736e7750e06c9623eca367a00984541c7ffe829aa8,,unique_config,当前已见类使用 PSE 而未见类直接平均,V5ABL013-RUN-001,,,,,,,,,,,,,
RUN-002,V5-ABLATION-013,ablation,frozen,PSE-SEEN-ONLY,PSE-SEEN-ONLY-seed5-repeat2,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,exp/v5/ablation/ablation-013-pse-shared-unseen,configs/PSE-SEEN-ONLY-SEED5.yaml,5,"{""pse_apply_unseen"":false}",d7564e573fe2a3b7dd067f736e7750e06c9623eca367a00984541c7ffe829aa8,RUN-001,exact_repeat,当前已见类使用 PSE 而未见类直接平均,V5ABL013-RUN-002,,,,,,,,,,,,,
RUN-003,V5-ABLATION-013,ablation,frozen,PSE-SEEN-ONLY,PSE-SEEN-ONLY-seed17-repeat1,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,exp/v5/ablation/ablation-013-pse-shared-unseen,configs/PSE-SEEN-ONLY-SEED17.yaml,17,"{""pse_apply_unseen"":false}",351dd5091142ac00e58eee9bf194bdf3142fbf8c5f1971bbd5de8bac22c44a5d,,unique_config,当前已见类使用 PSE 而未见类直接平均,V5ABL013-RUN-003,,,,,,,,,,,,,
RUN-004,V5-ABLATION-013,ablation,frozen,PSE-SEEN-ONLY,PSE-SEEN-ONLY-seed17-repeat2,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,exp/v5/ablation/ablation-013-pse-shared-unseen,configs/PSE-SEEN-ONLY-SEED17.yaml,17,"{""pse_apply_unseen"":false}",351dd5091142ac00e58eee9bf194bdf3142fbf8c5f1971bbd5de8bac22c44a5d,RUN-003,exact_repeat,当前已见类使用 PSE 而未见类直接平均,V5ABL013-RUN-004,,,,,,,,,,,,,
RUN-005,V5-ABLATION-013,ablation,frozen,PSE-SHARED-UNSEEN,PSE-SHARED-UNSEEN-seed5-repeat1,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,exp/v5/ablation/ablation-013-pse-shared-unseen,configs/PSE-SHARED-UNSEEN-SEED5.yaml,5,"{""pse_apply_unseen"":true}",1253e1da5e5613987f6c99ee02d85d2be0b4b814e1841ab0689a5c7111c3379d,,unique_config,评估时同一个 PSE 同时处理已见类和未见类,V5ABL013-RUN-005,,,,,,,,,,,,,
RUN-006,V5-ABLATION-013,ablation,frozen,PSE-SHARED-UNSEEN,PSE-SHARED-UNSEEN-seed5-repeat2,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,exp/v5/ablation/ablation-013-pse-shared-unseen,configs/PSE-SHARED-UNSEEN-SEED5.yaml,5,"{""pse_apply_unseen"":true}",1253e1da5e5613987f6c99ee02d85d2be0b4b814e1841ab0689a5c7111c3379d,RUN-005,exact_repeat,评估时同一个 PSE 同时处理已见类和未见类,V5ABL013-RUN-006,,,,,,,,,,,,,
RUN-007,V5-ABLATION-013,ablation,frozen,PSE-SHARED-UNSEEN,PSE-SHARED-UNSEEN-seed17-repeat1,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,exp/v5/ablation/ablation-013-pse-shared-unseen,configs/PSE-SHARED-UNSEEN-SEED17.yaml,17,"{""pse_apply_unseen"":true}",77c9d881c75f08df7352d23a2669d96dcfae80bcb65a81601ceab0ab056da8a6,,unique_config,评估时同一个 PSE 同时处理已见类和未见类,V5ABL013-RUN-007,,,,,,,,,,,,,
RUN-008,V5-ABLATION-013,ablation,frozen,PSE-SHARED-UNSEEN,PSE-SHARED-UNSEEN-seed17-repeat2,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,exp/v5/ablation/ablation-013-pse-shared-unseen,configs/PSE-SHARED-UNSEEN-SEED17.yaml,17,"{""pse_apply_unseen"":true}",77c9d881c75f08df7352d23a2669d96dcfae80bcb65a81601ceab0ab056da8a6,RUN-007,exact_repeat,评估时同一个 PSE 同时处理已见类和未见类,V5ABL013-RUN-008,,,,,,,,,,,,,
