job_id,work_item_id,job_kind,status,group,name,base_version,base_config_sha256,code_ref,config_snapshot_ref,seed,changed_parameters,config_fingerprint,repeat_of,duplicate_resolution,purpose,run_id,run_start_receipt_ref,run_start_receipt_sha256,run_command_sha256,run_log_sha256,run_exit_code,U,S,H,ZS,best_epoch,decision,artifact_ref,artifact_manifest_sha256
RUN-001,V5-TUNE-003,tune,frozen,FGVD-K16,FGVD-K16 seed=5 repeat=1,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,2f5fa5e631ef82658d4bac587cdfd17f3534cb35,configs/RUN-001.yaml,5,"{""fgvd_select_k"":16}",0b9dbf07f39365a526830368d875549cdef42f08f812c9b0de8805cfc7887ae1,,unique_config,评估 FGVD 选择 16 个局部块的影响,,,,,,,,,,,,,,
RUN-002,V5-TUNE-003,tune,frozen,FGVD-K16,FGVD-K16 seed=5 repeat=2,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,2f5fa5e631ef82658d4bac587cdfd17f3534cb35,configs/RUN-002.yaml,5,"{""fgvd_select_k"":16}",0b9dbf07f39365a526830368d875549cdef42f08f812c9b0de8805cfc7887ae1,RUN-001,exact_repeat,评估 FGVD 选择 16 个局部块的影响,,,,,,,,,,,,,,
RUN-003,V5-TUNE-003,tune,frozen,FGVD-K16,FGVD-K16 seed=17 repeat=1,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,2f5fa5e631ef82658d4bac587cdfd17f3534cb35,configs/RUN-003.yaml,17,"{""fgvd_select_k"":16}",32d6482662c05bff987131658b2c0e77fa049f68f017c1886b239c6602e3dc5e,,unique_config,评估 FGVD 选择 16 个局部块的影响,,,,,,,,,,,,,,
RUN-004,V5-TUNE-003,tune,frozen,FGVD-K16,FGVD-K16 seed=17 repeat=2,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,2f5fa5e631ef82658d4bac587cdfd17f3534cb35,configs/RUN-004.yaml,17,"{""fgvd_select_k"":16}",32d6482662c05bff987131658b2c0e77fa049f68f017c1886b239c6602e3dc5e,RUN-003,exact_repeat,评估 FGVD 选择 16 个局部块的影响,,,,,,,,,,,,,,
RUN-005,V5-TUNE-003,tune,frozen,FGVD-K64,FGVD-K64 seed=5 repeat=1,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,2f5fa5e631ef82658d4bac587cdfd17f3534cb35,configs/RUN-005.yaml,5,"{""fgvd_select_k"":64}",22cb4223c9cd7e9e5fb2fa19a2871c67320cfcbc5b2a3bc36fda874147bbffc9,,unique_config,评估 FGVD 选择 64 个局部块的影响,,,,,,,,,,,,,,
RUN-006,V5-TUNE-003,tune,frozen,FGVD-K64,FGVD-K64 seed=5 repeat=2,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,2f5fa5e631ef82658d4bac587cdfd17f3534cb35,configs/RUN-006.yaml,5,"{""fgvd_select_k"":64}",22cb4223c9cd7e9e5fb2fa19a2871c67320cfcbc5b2a3bc36fda874147bbffc9,RUN-005,exact_repeat,评估 FGVD 选择 64 个局部块的影响,,,,,,,,,,,,,,
RUN-007,V5-TUNE-003,tune,frozen,FGVD-K64,FGVD-K64 seed=17 repeat=1,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,2f5fa5e631ef82658d4bac587cdfd17f3534cb35,configs/RUN-007.yaml,17,"{""fgvd_select_k"":64}",c39dd8213f51971c6268343c966511bea30cb19141c90344ecd5d53a22477a95,,unique_config,评估 FGVD 选择 64 个局部块的影响,,,,,,,,,,,,,,
RUN-008,V5-TUNE-003,tune,frozen,FGVD-K64,FGVD-K64 seed=17 repeat=2,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,2f5fa5e631ef82658d4bac587cdfd17f3534cb35,configs/RUN-008.yaml,17,"{""fgvd_select_k"":64}",c39dd8213f51971c6268343c966511bea30cb19141c90344ecd5d53a22477a95,RUN-007,exact_repeat,评估 FGVD 选择 64 个局部块的影响,,,,,,,,,,,,,,
