job_id,work_item_id,job_kind,status,group,name,base_version,base_config_sha256,code_ref,config_snapshot_ref,seed,changed_parameters,config_fingerprint,repeat_of,duplicate_resolution,purpose,run_id,run_start_receipt_ref,run_start_receipt_sha256,run_command_sha256,run_log_sha256,run_exit_code,U,S,H,ZS,best_epoch,decision,artifact_ref,artifact_manifest_sha256
RUN-001,V5-INNOVATION-007,innovation,frozen,LOCAL_CE,top-5 重排 V5-INNOVATION-004,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,816679b6cc93a3ab0892d43b63a1bb04f877ea1c,configs/SOURCE-004.yaml,5,"{""k"":5,""residual_cap"":0.25,""source_experiment"":""V5-INNOVATION-004""}",affbe2444f4a623f974b97c3830af540c72d47e9396647a5c47f92dd9dd91ded,,,固定应用于对应 seed 5 checkpoint,,,,,,,,,,,,,,
RUN-002,V5-INNOVATION-007,innovation,frozen,CONFUSION_CONTRAST,top-5 重排 V5-INNOVATION-005,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,816679b6cc93a3ab0892d43b63a1bb04f877ea1c,configs/SOURCE-005.yaml,5,"{""k"":5,""residual_cap"":0.25,""source_experiment"":""V5-INNOVATION-005""}",b13c714f17d3744eeb91309d444b2428f458e68663528a35e5664220bf0e0dde,,,固定应用于对应 seed 5 checkpoint,,,,,,,,,,,,,,
RUN-003,V5-INNOVATION-007,innovation,frozen,CROP_DISTILL,top-5 重排 V5-INNOVATION-006,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,816679b6cc93a3ab0892d43b63a1bb04f877ea1c,configs/SOURCE-006.yaml,5,"{""k"":5,""residual_cap"":0.25,""source_experiment"":""V5-INNOVATION-006""}",d7568e3b5c3a9b8f0ec4e12ab131c9234d33f52217cefa9d2c2aa9bb7a1abdab,,,固定应用于对应 seed 5 checkpoint,,,,,,,,,,,,,,
